left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
197.000000,14.000000,197.804733,12.906895,0.804728,-1.093106,0.001223,0.005413,0.042178,0.007321
200.000000,14.000000,200.790100,13.018198,0.790099,-0.981802,0.001821,0.005172,0.045723,0.007402
203.000000,14.000000,203.819351,13.155457,0.819353,-0.844543,0.002649,0.000464,0.044100,0.007184
206.000000,14.000000,206.811661,13.263858,0.811665,-0.736142,0.002529,0.001997,0.045350,0.007186
209.000000,14.000000,209.821991,13.379840,0.821991,-0.620160,0.003439,0.002738,0.045454,0.007142
212.000000,14.000000,212.848984,13.510427,0.848983,-0.489572,0.002911,0.001019,0.043961,0.007534
215.000000,14.000000,215.847824,13.631754,0.847821,-0.368246,0.001955,0.000930,0.044213,0.007517
218.000000,14.000000,218.860870,13.753160,0.860864,-0.246840,0.001619,0.000873,0.043809,0.008009
221.000000,14.000000,221.856796,13.883917,0.856802,-0.116083,0.001556,-0.001061,0.044696,0.008000
224.000000,14.000000,224.864578,13.976622,0.864579,-0.023379,0.001831,0.005069,0.044608,0.008499
227.000000,14.000000,227.859467,14.111117,0.859471,0.111117,0.001870,0.002879,0.046325,0.008891
230.000000,14.000000,230.868698,14.229543,0.868706,0.229543,0.002306,0.003994,0.046135,0.008433
233.000000,14.000000,233.876526,14.365815,0.876529,0.365815,0.003103,0.001446,0.046177,0.008649
236.000000,14.000000,236.886139,14.485682,0.886133,0.485683,0.004192,0.002458,0.046175,0.009256
239.000000,14.000000,239.904510,14.618080,0.904505,0.618080,0.003936,0.000586,0.045184,0.010284
242.000000,14.000000,242.928970,14.736887,0.928970,0.736887,0.002439,0.000634,0.042608,0.010601
245.000000,14.000000,245.913361,14.852758,0.913365,0.852758,0.002553,0.000373,0.043965,0.010504
248.000000,14.000000,248.938416,14.958026,0.938417,0.958026,0.002475,0.001392,0.041036,0.010108
251.000000,14.000000,251.937454,15.056187,0.937458,1.056187,0.001566,0.002771,0.041248,0.009949
254.000000,14.000000,254.949448,15.177295,0.949455,1.177295,0.001001,-0.000918,0.040618,0.010046
257.000000,14.000000,257.941650,15.281389,0.941650,1.281389,0.000289,-0.001995,0.040663,0.010589
260.000000,14.000000,260.943756,15.363598,0.943769,1.363598,0.001154,0.000484,0.039910,0.010351
263.000000,14.000000,263.950653,15.462999,0.950645,1.462999,0.001970,-0.001355,0.038943,0.009745
266.000000,14.000000,266.961700,15.540560,0.961688,1.540560,0.002157,-0.000169,0.037408,0.009073
269.000000,14.000000,269.973877,15.625971,0.973862,1.625971,0.002522,-0.001801,0.035452,0.008501
272.000000,14.000000,272.980560,15.703491,0.980562,1.703491,0.001404,-0.002997,0.033869,0.007991
275.000000,14.000000,275.979370,15.768902,0.979371,1.768902,0.000043,-0.003187,0.033294,0.007582
278.000000,14.000000,278.964142,15.819234,0.964130,1.819234,-0.000112,-0.004601,0.036049,0.008116
281.000000,14.000000,281.991272,15.886941,0.991282,1.886941,-0.006221,-0.011809,0.034398,0.009566
284.000000,14.000000,284.982300,15.921137,0.982307,1.921137,-0.049607,-0.014497,0.035747,0.010445
14.000000,17.000000,15.150146,18.915394,1.150146,1.915393,0.027446,-0.005622,0.021762,0.009779
17.000000,17.000000,18.151394,18.861914,1.151393,1.861915,0.002963,-0.003431,0.019010,0.007471
20.000000,17.000000,21.149658,18.805794,1.149658,1.805794,0.000067,-0.002350,0.016667,0.007496
23.000000,17.000000,24.152981,18.737307,1.152981,1.737306,-0.000411,-0.001929,0.014410,0.007484
26.000000,17.000000,27.146235,18.649542,1.146234,1.649543,-0.000228,-0.000798,0.014424,0.007201
29.000000,17.000000,30.161964,18.602650,1.161964,1.602649,-0.000123,-0.002031,0.014140,0.007202
32.000000,17.000000,33.147602,18.527866,1.147601,1.527867,-0.001100,-0.002044,0.013174,0.007057
35.000000,17.000000,36.141281,18.447443,1.141281,1.447444,-0.001249,-0.001944,0.011942,0.007618
38.000000,17.000000,39.133686,18.361217,1.133687,1.361217,-0.000978,-0.001967,0.010931,0.008182
41.000000,17.000000,42.135681,18.265476,1.135682,1.265477,-0.001554,-0.001510,0.009712,0.008394
44.000000,17.000000,45.129158,18.166714,1.129160,1.166714,-0.002814,-0.001033,0.008987,0.008620
47.000000,17.000000,48.111530,18.070234,1.111531,1.070234,-0.002776,-0.001341,0.008046,0.008285
50.000000,17.000000,51.098587,17.961796,1.098586,0.961797,-0.002372,-0.001218,0.006867,0.008072
53.000000,17.000000,54.100819,17.837147,1.100819,0.837146,-0.002126,-0.000677,0.006705,0.007979
56.000000,17.000000,57.097694,17.720686,1.097694,0.720686,-0.002387,-0.001035,0.007515,0.008130
59.000000,17.000000,60.082150,17.612934,1.082151,0.612933,-0.002727,-0.001716,0.007407,0.008051
62.000000,17.000000,63.081825,17.487793,1.081824,0.487793,-0.002731,-0.001454,0.006650,0.008286
