x,y,u_displacement,v_displacement
122,20,1.11021,-1.68857
125,20,1.09725,-1.75898
128,20,1.11137,-1.8113
131,20,1.10155,-1.85451
134,20,1.11956,-1.89943
137,20,1.10525,-1.939
140,20,1.0967,-1.97354
143,20,1.10581,-1.99975
146,20,1.11037,-1.99386
149,20,1.10575,-2.00089
152,20,1.1131,-2.00393
155,20,1.10837,-1.99397
158,20,1.10298,-1.96577
161,20,1.11084,-1.94134
164,20,1.11971,-1.89715
167,20,1.11282,-1.87291
170,20,1.12073,-1.81201
173,20,1.11901,-1.77732
176,20,1.12891,-1.68107
179,20,1.13899,-1.62673
182,20,1.1554,-1.55044
185,20,1.15433,-1.46507
188,20,1.1489,-1.37998
191,20,1.15237,-1.28585
194,20,1.15698,-1.18112
197,20,1.1632,-1.07482
200,20,1.15565,-0.962421
203,20,1.16249,-0.843852
206,20,1.1773,-0.724534
209,20,1.17388,-0.623006
212,20,1.19167,-0.493239
215,20,1.19434,-0.370091
218,20,1.20798,-0.258968
221,20,1.21049,-0.109913
224,20,1.218,-0.00478636
227,20,1.21441,0.131208
230,20,1.23197,0.266604
233,20,1.22888,0.386869
236,20,1.23493,0.508022
239,20,1.27229,0.636032
242,20,1.26152,0.758528
245,20,1.27447,0.868141
248,20,1.29222,0.980412
251,20,1.28707,1.07129
254,20,1.29654,1.17761
257,20,1.29461,1.29414
260,20,1.28508,1.37071
263,20,1.29625,1.48552
266,20,1.30737,1.54853
269,20,1.30372,1.63274
272,20,1.33416,1.69947
275,20,1.31071,1.75885
278,20,1.31571,1.81321
281,20,1.33013,1.88762
284,20,1.32536,1.92001
14,23,1.49297,1.89503
17,23,1.48991,1.85907
20,23,1.48945,1.8058
23,23,1.48025,1.73958
26,23,1.46962,1.66337
29,23,1.47999,1.59554
32,23,1.47241,1.52786
35,23,1.46925,1.43934
38,23,1.45707,1.35807
41,23,1.48526,1.26394
44,23,1.46824,1.17474
47,23,1.4518,1.07716
50,23,1.44476,0.966433
53,23,1.44663,0.830176
56,23,1.44175,0.721105
59,23,1.43694,0.611185
62,23,1.43593,0.486535
65,23,1.41259,0.357836
68,23,1.42597,0.236933
71,23,1.41382,0.118131
74,23,1.41498,-0.0143124
77,23,1.39995,-0.144675
80,23,1.39742,-0.264167
83,23,1.37483,-0.37827
86,23,1.35535,-0.510075
89,23,1.35188,-0.64284
92,23,1.34351,-0.758711
95,23,1.31723,-0.870012
98,23,1.33926,-0.981915
101,23,1.34199,-1.10358
104,23,1.34178,-1.19021
107,23,1.3319,-1.28616
110,23,1.32463,-1.37412
113,23,1.29683,-1.4678
116,23,1.30057,-1.55743
119,23,1.30474,-1.6196
122,23,1.29616,-1.68138
125,23,1.28179,-1.75996
128,23,1.29202,-1.811
131,23,1.29018,-1.85394
134,23,1.29287,-1.90083
137,23,1.2703,-1.95006
140,23,1.26501,-1.991
143,23,1.27572,-2.00195
146,23,1.28313,-1.99298
149,23,1.27846,-2.00082
152,23,1.28531,-1.99941
155,23,1.28105,-1.98885
158,23,1.26602,-1.96166
161,23,1.27601,-1.92649
164,23,1.29239,-1.88852
167,23,1.28179,-1.85972
170,23,1.2968,-1.81548
173,23,1.29451,-1.76361
176,23,1.30124,-1.67947
179,23,1.30201,-1.61855
182,23,1.30654,-1.53574
185,23,1.3317,-1.45979
188,23,1.32368,-1.36395
191,23,1.32499,-1.27125
194,23,1.32788,-1.16454
197,23,1.33871,-1.06468
200,23,1.34641,-0.953251
203,23,1.3488,-0.831934
206,23,1.35793,-0.717507
209,23,1.35319,-0.609499
212,23,1.37627,-0.470789
215,23,1.36831,-0.342894
218,23,1.37581,-0.232013
221,23,1.38547,-0.0959546
224,23,1.40801,0.0250354
227,23,1.41269,0.156809
230,23,1.39836,0.275024
233,23,1.40608,0.39
236,23,1.41133,0.509674
239,23,1.43542,0.638616
242,23,1.44061,0.770573
245,23,1.44559,0.877016
248,23,1.45361,0.98573
251,23,1.46118,1.0718
254,23,1.45493,1.16983
257,23,1.46108,1.28957
260,23,1.45195,1.36966
263,23,1.47125,1.45915
266,23,1.46595,1.54448
269,23,1.47861,1.62686
272,23,1.49814,1.68969
275,23,1.49378,1.74457
278,23,1.49157,1.79993
281,23,1.50231,1.8775
284,23,1.48032,1.92586
14,26,1.65651,1.89477
17,26,1.64422,1.85428
20,26,1.6402,1.80542
23,26,1.62613,1.7385
26,26,1.62076,1.65703
29,26,1.63576,1.5897
32,26,1.63145,1.52441
35,26,1.63805,1.42535
38,26,1.64441,1.34259
41,26,1.64182,1.2457
44,26,1.6219,1.17054
47,26,1.59431,1.06957
50,26,1.58888,0.961808
53,26,1.58214,0.824348
56,26,1.60021,0.707609
59,26,1.59177,0.60359
62,26,1.58147,0.473005
65,26,1.56726,0.349112
68,26,1.57733,0.222149
71,26,1.56354,0.108235
74,26,1.56917,-0.0180923
77,26,1.5695,-0.157187
80,26,1.54618,-0.275308
83,26,1.5363,-0.392309
86,26,1.52312,-0.521918
89,26,1.5121,-0.646356
92,26,1.50508,-0.772203
95,26,1.50002,-0.874397
98,26,1.50666,-0.993941
101,26,1.51249,-1.10134
104,26,1.50359,-1.22805
107,26,1.49417,-1.31909
110,26,1.48192,-1.38424
113,26,1.45728,-1.46892
116,26,1.46778,-1.55929
119,26,1.46474,-1.61823
122,26,1.45866,-1.68546
125,26,1.45814,-1.75667
128,26,1.45096,-1.80916
131,26,1.46001,-1.86981
134,26,1.4478,-1.91131
137,26,1.44321,-1.94812
140,26,1.43445,-1.97868
143,26,1.44278,-1.99913
146,26,1.44686,-2.0013
149,26,1.44584,-2.0083
152,26,1.44051,-2.00402
155,26,1.44649,-1.98853
158,26,1.44723,-1.96122
161,26,1.44417,-1.92734
164,26,1.44834,-1.90249
167,26,1.43426,-1.87039
170,26,1.45561,-1.82743
173,26,1.47193,-1.77756
176,26,1.47663,-1.69516
179,26,1.47856,-1.62339
182,26,1.48192,-1.53246
185,26,1.50714,-1.44757
188,26,1.49481,-1.36053
191,26,1.49317,-1.26903
194,26,1.49556,-1.17084
197,26,1.51309,-1.07702
200,26,1.50634,-0.968537
203,26,1.4995,-0.83863
206,26,1.50768,-0.721297
209,26,1.52115,-0.596636
212,26,1.54205,-0.479287
215,26,1.54094,-0.366828
218,26,1.54103,-0.251088
221,26,1.55089,-0.118426
224,26,1.55518,0.0278947
227,26,1.56488,0.145834
230,26,1.55582,0.262073
233,26,1.57079,0.387767
236,26,1.57608,0.519297
239,26,1.5899,0.644742
242,26,1.60977,0.762927
245,26,1.59862,0.87677
248,26,1.60336,0.983945
251,26,1.62208,1.0899
254,26,1.60725,1.1797
257,26,1.6134,1.28712
260,26,1.62181,1.38075
263,26,1.63151,1.4687
266,26,1.64291,1.5559
269,26,1.65317,1.62657
272,26,1.65075,1.70423
275,26,1.64231,1.76545
278,26,1.65268,1.82255
281,26,1.64768,1.88091
284,26,1.63453,1.912
14,29,1.81947,1.89167
17,29,1.79989,1.84444
20,29,1.7906,1.80106
23,29,1.79549,1.72913
26,29,1.78921,1.65364
29,29,1.80499,1.59526
32,29,1.7971,1.5266
35,29,1.79623,1.43916
38,29,1.8035,1.36082
41,29,1.80336,1.26014
44,29,1.79011,1.16117
47,29,1.75583,1.07453
50,29,1.76602,0.960663
53,29,1.7504,0.835412
56,29,1.7555,0.716414
59,29,1.74502,0.60524
62,29,1.73828,0.476213
65,29,1.72995,0.350675
68,29,1.73355,0.229328
71,29,1.72268,0.113784
74,29,1.69802,-0.0187926
77,29,1.70477,-0.153823
80,29,1.69972,-0.270322
83,29,1.6827,-0.390672
86,29,1.68026,-0.519929
89,29,1.67411,-0.634628
92,29,1.65617,-0.76124
95,29,1.65031,-0.865286
98,29,1.65724,-0.984149
101,29,1.63337,-1.12119
104,29,1.6444,-1.21109
107,29,1.64041,-1.29454
110,29,1.6597,-1.38954
113,29,1.62928,-1.47507
116,29,1.63786,-1.56618
119,29,1.62049,-1.63279
122,29,1.62206,-1.70902
125,29,1.62602,-1.77428
128,29,1.60173,-1.81439
131,29,1.60614,-1.8598
134,29,1.61662,-1.89377
137,29,1.60904,-1.94258
140,29,1.60224,-1.98484
143,29,1.60894,-2.00506
146,29,1.62075,-2.00442
149,29,1.6185,-2.01268
152,29,1.62705,-1.99669
155,29,1.61457,-1.96742
158,29,1.60055,-1.95436
161,29,1.60785,-1.92383
164,29,1.60645,-1.90111
167,29,1.58881,-1.87737
170,29,1.6314,-1.80533
173,29,1.6274,-1.76471
176,29,1.62437,-1.67907
179,29,1.62891,-1.6109
182,29,1.63764,-1.52173
185,29,1.64725,-1.4421
188,29,1.65035,-1.35064
191,29,1.64453,-1.25136
194,29,1.65113,-1.15458
197,29,1.65906,-1.05446
200,29,1.65731,-0.94664
203,29,1.65731,-0.82733
206,29,1.66642,-0.716306
209,29,1.68499,-0.590367
212,29,1.69705,-0.471536
215,29,1.7028,-0.354992
218,29,1.70191,-0.236831
221,29,1.7077,-0.0953986
224,29,1.7149,0.0223134
227,29,1.72878,0.14737
230,29,1.7263,0.278832
233,29,1.72445,0.399536
236,29,1.74131,0.523788
239,29,1.74398,0.642974
242,29,1.75379,0.769254
245,29,1.75712,0.877421
248,29,1.75816,0.997332
251,29,1.75994,1.10506
254,29,1.77475,1.20347
257,29,1.77572,1.30956
260,29,1.77493,1.38398
263,29,1.79256,1.47156
266,29,1.78951,1.5676
269,29,1.79732,1.64882
272,29,1.81056,1.72344
275,29,1.79769,1.77806
278,29,1.78171,1.84194
281,29,1.79667,1.8792
284,29,1.78594,1.91633
14,32,1.97776,1.89276
17,32,1.9641,1.84298
20,32,1.94931,1.80431
23,32,1.95299,1.72455
26,32,1.94261,1.64757
29,32,1.94115,1.59285
32,32,1.94652,1.50806
35,32,1.92713,1.42073
38,32,1.92459,1.33276
41,32,1.94116,1.25675
44,32,1.92928,1.15049
47,32,1.91021,1.05073
50,32,1.91754,0.942695
53,32,1.89485,0.810668
56,32,1.89448,0.694513
59,32,1.91161,0.597234
62,32,1.88802,0.462703
65,32,1.87036,0.34769
68,32,1.89897,0.231783
71,32,1.87298,0.112489
74,32,1.86203,-0.0209475
77,32,1.86555,-0.157406
80,32,1.85265,-0.290203
83,32,1.82169,-0.406668
86,32,1.81968,-0.53159
89,32,1.80529,-0.661559
92,32,1.79988,-0.774606
95,32,1.80111,-0.883467
98,32,1.8018,-1.00247
101,32,1.79237,-1.12838
104,32,1.82018,-1.20405
107,32,1.80343,-1.30044
110,32,1.81203,-1.38704
113,32,1.77696,-1.47711
116,32,1.79626,-1.55997
119,32,1.78008,-1.63393
122,32,1.79329,-1.70293
125,32,1.78901,-1.77219
128,32,1.77571,-1.82105
131,32,1.75687,-1.86952
134,32,1.78233,-1.91243
137,32,1.7663,-1.94743
140,32,1.76148,-1.98157
143,32,1.76925,-1.9909
146,32,1.78177,-2.0085
149,32,1.77461,-2.02077
152,32,1.77602,-2.00732
155,32,1.77219,-1.97229
158,32,1.76009,-1.95042
161,32,1.76294,-1.92429
164,32,1.7748,-1.9164
167,32,1.76652,-1.87299
170,32,1.7831,-1.80751
173,32,1.79197,-1.77375
176,32,1.78141,-1.67874
179,32,1.77973,-1.61141
182,32,1.79572,-1.52116
185,32,1.79673,-1.42915
188,32,1.79526,-1.3459
191,32,1.79523,-1.24995
194,32,1.79892,-1.1547
197,32,1.8151,-1.04634
200,32,1.82007,-0.941912
203,32,1.82109,-0.83044
206,32,1.81991,-0.722466
209,32,1.82767,-0.607638
212,32,1.85063,-0.486745
215,32,1.86563,-0.366691
218,32,1.85891,-0.238134
221,32,1.85994,-0.0985481
224,32,1.87086,0.0189205
227,32,1.88537,0.161876
230,32,1.89596,0.275976
233,32,1.88035,0.399554
236,32,1.89419,0.525721
239,32,1.90762,0.652376
242,32,1.91512,0.805144
245,32,1.92673,0.892555
248,32,1.91369,1.00835
251,32,1.92254,1.11463
254,32,1.94151,1.22747
257,32,1.92669,1.3128
260,32,1.92176,1.39067
263,32,1.93403,1.48374
266,32,1.94197,1.56901
269,32,1.94694,1.66297
272,32,1.96385,1.69947
275,32,1.9683,1.78437
278,32,1.96169,1.84383
281,32,1.94454,1.89432
284,32,1.93702,1.92749
14,35,2.10633,1.89035
17,35,2.08058,1.83738
20,35,2.08791,1.80157
23,35,2.09564,1.72691
26,35,2.08627,1.65052
29,35,2.08122,1.59121
32,35,2.08212,1.51246
35,35,2.07103,1.43293
38,35,2.06679,1.34929
41,35,2.07657,1.26323
44,35,2.05363,1.1547
47,35,2.05968,1.02443
50,35,2.06316,0.90711
53,35,2.04982,0.786866
56,35,2.03601,0.666765
59,35,2.05452,0.585164
62,35,2.03921,0.452378
65,35,2.0187,0.32364
68,35,2.02455,0.203897
71,35,1.99918,0.0887772
74,35,2.01885,-0.0430145
77,35,2.0058,-0.176872
80,35,1.99135,-0.302276
83,35,1.9661,-0.42276
86,35,1.96647,-0.549737
89,35,1.95693,-0.681006
92,35,1.95035,-0.803365
95,35,1.9391,-0.923559
98,35,1.95172,-0.998849
101,35,1.929,-1.12596
104,35,1.98011,-1.2001
107,35,1.98185,-1.29558
110,35,1.96821,-1.39034
113,35,1.93631,-1.47445
116,35,1.95206,-1.56851
119,35,1.93085,-1.6422
122,35,1.93535,-1.71017
125,35,1.93957,-1.77719
128,35,1.91811,-1.82439
131,35,1.9079,-1.86222
134,35,1.93316,-1.91532
137,35,1.91602,-1.94269
140,35,1.91623,-1.97845
143,35,1.92714,-1.99426
146,35,1.93676,-2.01719
149,35,1.91849,-2.01473
152,35,1.92492,-1.99605
155,35,1.9117,-1.96683
158,35,1.90597,-1.94043
161,35,1.92109,-1.91695
164,35,1.91604,-1.89839
167,35,1.93515,-1.84731
170,35,1.94522,-1.80528
173,35,1.9397,-1.76735
176,35,1.93187,-1.67341
179,35,1.9485,-1.59766
182,35,1.94327,-1.50313
185,35,1.93434,-1.41628
188,35,1.93519,-1.32866
191,35,1.9395,-1.23906
194,35,1.93002,-1.14222
197,35,1.96161,-1.04226
200,35,1.95174,-0.939834
203,35,1.95876,-0.821571
206,35,1.97139,-0.709884
209,35,1.9667,-0.594302
212,35,1.99558,-0.481662
215,35,1.99908,-0.348696
218,35,1.99215,-0.224392
221,35,1.99807,-0.104693
224,35,2.01981,0.0160229
227,35,2.02664,0.16407
230,35,2.03055,0.276774
233,35,2.03547,0.39961
236,35,2.0297,0.530086
239,35,2.05134,0.65405
242,35,2.05028,0.795727
245,35,2.0688,0.890097
248,35,2.0711,1.00135
251,35,2.07482,1.10761
254,35,2.09441,1.2163
257,35,2.07345,1.30132
260,35,2.06547,1.37712
263,35,2.09002,1.48207
266,35,2.07604,1.55571
269,35,2.09136,1.64232
272,35,2.10747,1.68604
275,35,2.10393,1.75288
278,35,2.08244,1.82396
281,35,2.08286,1.8703
284,35,2.08102,1.92261
14,38,2.23626,1.88525
17,38,2.21738,1.837
20,38,2.22044,1.79496
23,38,2.23678,1.72824
26,38,2.20325,1.65359
29,38,2.22227,1.61524
32,38,2.22449,1.53533
35,38,2.21827,1.44295
38,38,2.19988,1.33896
41,38,2.21784,1.23801
44,38,2.19717,1.13547
47,38,2.19714,1.02825
50,38,2.1946,0.907679
53,38,2.18432,0.786964
56,38,2.18322,0.699763
59,38,2.18893,0.594371
62,38,2.1677,0.457945
65,38,2.15169,0.332013
68,38,2.1575,0.207781
71,38,2.14098,0.0939272
74,38,2.12851,-0.0277755
77,38,2.14768,-0.167852
80,38,2.13088,-0.287185
83,38,2.10316,-0.410955
86,38,2.10294,-0.524342
89,38,2.09664,-0.653521
92,38,2.09999,-0.780074
95,38,2.07462,-0.883277
98,38,2.09096,-0.969371
101,38,2.08827,-1.10578
104,38,2.12202,-1.20097
107,38,2.12206,-1.31976
110,38,2.08312,-1.40415
113,38,2.06732,-1.49312
116,38,2.0675,-1.5798
119,38,2.0684,-1.64179
122,38,2.06465,-1.7061
125,38,2.07502,-1.78472
128,38,2.05648,-1.84263
131,38,2.05055,-1.88057
134,38,2.06697,-1.93386
137,38,2.05087,-1.9537
140,38,2.05814,-1.97916
143,38,2.06318,-1.99778
146,38,2.06727,-2.01085
149,38,2.06282,-2.02009
