left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
186.000000,12.000000,187.295746,13.860051,1.295751,1.860051,NaN,NaN,NaN,0.007475
12.000000,15.000000,13.529168,16.787420,1.529168,1.787420,NaN,NaN,NaN,0.008975
15.000000,15.000000,16.585196,16.682581,1.585196,1.682581,NaN,NaN,NaN,0.010864
18.000000,15.000000,19.618746,16.611811,1.618746,1.611810,NaN,NaN,NaN,0.014273
21.000000,15.000000,22.529490,16.539690,1.529489,1.539691,NaN,NaN,NaN,0.010146
24.000000,15.000000,25.460163,16.457867,1.460162,1.457866,NaN,NaN,NaN,0.010643
27.000000,15.000000,28.467604,16.288506,1.467603,1.288506,NaN,NaN,NaN,0.010912
30.000000,15.000000,31.431231,16.067987,1.431231,1.067987,NaN,NaN,NaN,0.009327
33.000000,15.000000,34.442730,15.899264,1.442728,0.899264,NaN,NaN,NaN,0.008324
36.000000,15.000000,37.453102,15.682678,1.453104,0.682678,NaN,NaN,NaN,0.006754
39.000000,15.000000,40.413921,15.628876,1.413921,0.628876,NaN,NaN,NaN,0.005978
42.000000,15.000000,43.420532,15.382860,1.420532,0.382861,NaN,NaN,NaN,0.006884
45.000000,15.000000,46.409538,15.221077,1.409539,0.221077,NaN,NaN,NaN,0.007257
48.000000,15.000000,49.356823,15.017554,1.356823,0.017554,NaN,NaN,NaN,0.008536
51.000000,15.000000,52.376396,14.857466,1.376394,-0.142534,NaN,NaN,NaN,0.009938
54.000000,15.000000,55.367935,14.661500,1.367935,-0.338500,NaN,NaN,NaN,0.009403
57.000000,15.000000,58.401134,14.546212,1.401133,-0.453788,NaN,NaN,NaN,0.009721
60.000000,15.000000,61.328823,14.292950,1.328823,-0.707051,NaN,NaN,NaN,0.010029
63.000000,15.000000,64.342552,14.101886,1.342554,-0.898115,NaN,NaN,NaN,0.010169
66.000000,15.000000,67.292702,13.935501,1.292701,-1.064499,NaN,NaN,NaN,0.009343
69.000000,15.000000,70.269226,13.806663,1.269224,-1.193338,NaN,NaN,NaN,0.007141
72.000000,15.000000,73.282715,13.711753,1.282717,-1.288247,NaN,NaN,NaN,0.005779
75.000000,15.000000,76.252357,13.595110,1.252354,-1.404890,NaN,NaN,NaN,0.006038
78.000000,15.000000,79.223946,13.445821,1.223949,-1.554179,NaN,NaN,NaN,0.006775
81.000000,15.000000,82.197052,13.317974,1.197055,-1.682026,NaN,NaN,NaN,0.007860
84.000000,15.000000,85.175354,13.213921,1.175353,-1.786079,NaN,NaN,NaN,0.006568
87.000000,15.000000,88.168350,13.119864,1.168350,-1.880136,NaN,NaN,NaN,0.005905
90.000000,15.000000,91.187721,13.078611,1.187718,-1.921388,NaN,NaN,NaN,0.005867
93.000000,15.000000,94.202988,13.041930,1.202984,-1.958070,NaN,NaN,NaN,0.006856
96.000000,15.000000,97.220177,13.025322,1.220176,-1.974678,NaN,NaN,NaN,0.006896
99.000000,15.000000,100.213417,13.014554,1.213415,-1.985446,NaN,NaN,NaN,0.006106
102.000000,15.000000,103.199509,13.013576,1.199509,-1.986425,NaN,NaN,NaN,0.006743
105.000000,15.000000,106.205666,13.021342,1.205666,-1.978657,NaN,NaN,NaN,0.008713
108.000000,15.000000,109.130150,13.071980,1.130147,-1.928019,NaN,NaN,NaN,0.008797
111.000000,15.000000,112.195625,13.180668,1.195628,-1.819332,NaN,NaN,NaN,0.006049
114.000000,15.000000,115.177986,13.192202,1.177986,-1.807798,NaN,NaN,NaN,0.007034
117.000000,15.000000,118.211708,13.330977,1.211710,-1.669023,NaN,NaN,NaN,0.008042
